ID	Log2FoldChange	PValue
ENSG00000033867	0.92	5.29E-08
ENSG00000196507	-1.05	5.29E-08
ENSG00000122877	3.07	5.44E-08
ENSG00000184304	-0.72	5.58E-08
ENSG00000117143	-0.65	5.65E-08
ENSG00000175197	1.05	5.67E-08
ENSG00000079691	-1.18	6.05E-08
ENSG00000173757	-0.5	6.6E-08
ENSG00000071242	-0.93	7.29E-08
ENSG00000167645	-1.14	7.34E-08
ENSG00000106617	-1.57	7.55E-08
ENSG00000137266	1.37	7.56E-08
ENSG00000113140	0.54	7.82E-08
ENSG00000140450	0.73	7.85E-08
ENSG00000077063	1.06	8.14E-08
ENSG00000075240	1.16	8.34E-08
ENSG00000072210	0.97	8.39E-08
ENSG00000152779	-4.03	8.4E-08
ENSG00000132155	-0.79	8.85E-08
ENSG00000026950	0.88	9.03E-08
ENSG00000147526	-0.89	9.2E-08
ENSG00000165507	-1.61	9.43E-08
ENSG00000261490	-1.46	1.02E-07
ENSG00000131979	-1.63	1.04E-07
ENSG00000113719	-0.74	1.04E-07
ENSG00000102984	1.59	1.08E-07
ENSG00000140105	1.33	1.12E-07
ENSG00000149289	-0.72	1.13E-07
ENSG00000261468	-2.45	1.17E-07
ENSG00000143507	1.18	1.18E-07
ENSG00000127954	-5.17	1.18E-07
ENSG00000197872	0.87	1.2E-07
ENSG00000021355	-0.58	1.23E-07
ENSG00000206538	-1.34	1.23E-07
ENSG00000109189	-0.74	1.23E-07
ENSG00000099204	-1.41	1.24E-07
ENSG00000070404	-1.83	1.27E-07
ENSG00000103381	-0.92	1.28E-07
ENSG00000137393	-2.16	1.31E-07
ENSG00000215386	1.34	1.38E-07
ENSG00000162772	-1.97	1.43E-07
ENSG00000168542	0.84	1.46E-07
ENSG00000008256	-1.2	1.47E-07
ENSG00000187288	-3.78	1.53E-07
ENSG00000091317	-0.63	1.64E-07
ENSG00000116704	-0.86	1.76E-07
ENSG00000096384	0.37	1.83E-07
ENSG00000138678	-1.16	1.88E-07
ENSG00000196155	1.35	1.88E-07
ENSG00000109686	-0.73	1.88E-07
ENSG00000166526	0.58	1.89E-07
ENSG00000125430	-0.98	1.89E-07
ENSG00000129467	1.63	2.12E-07
ENSG00000159423	-0.93	2.25E-07
ENSG00000184575	0.59	2.54E-07
ENSG00000135679	0.56	2.6E-07
ENSG00000166825	-1.08	2.64E-07
ENSG00000067798	-2.25	2.65E-07
ENSG00000109881	1.28	2.65E-07
ENSG00000236104	0.64	2.65E-07
ENSG00000163399	-0.4	2.68E-07
ENSG00000168621	-1.81	2.68E-07
ENSG00000093144	-0.73	2.73E-07
ENSG00000196372	-0.88	2.75E-07
ENSG00000154310	1.12	2.93E-07
ENSG00000085377	-0.55	2.93E-07
ENSG00000104047	0.54	2.93E-07
ENSG00000174099	-0.73	2.94E-07
ENSG00000178425	0.73	2.96E-07
ENSG00000111859	-1.66	2.97E-07
ENSG00000122035	-2.37	3.13E-07
ENSG00000170365	0.88	3.13E-07
ENSG00000109625	1.86	3.17E-07
ENSG00000113580	0.99	3.17E-07
ENSG00000136830	-0.66	3.21E-07
ENSG00000080200	0.64	3.27E-07
ENSG00000136560	-0.53	3.34E-07
ENSG00000165030	-1.15	3.41E-07
ENSG00000132530	1.05	3.48E-07
ENSG00000170759	-0.58	3.68E-07
ENSG00000145675	-1.63	3.77E-07
ENSG00000067445	0.74	4.02E-07
ENSG00000185716	-0.87	4.17E-07
ENSG00000196476	1.04	4.23E-07
ENSG00000074047	0.89	4.24E-07
ENSG00000136383	-3.03	4.29E-07
ENSG00000114019	-0.91	4.38E-07
ENSG00000188706	-0.76	4.56E-07
ENSG00000144746	-0.5	4.61E-07
ENSG00000161813	-0.81	4.68E-07
ENSG00000160712	-0.65	4.76E-07
ENSG00000031698	0.53	4.91E-07
ENSG00000160446	-0.89	5.15E-07
ENSG00000109689	1.01	5.17E-07
ENSG00000198369	-0.64	5.24E-07
ENSG00000214548	0.54	5.45E-07
ENSG00000124440	-2.58	5.55E-07
ENSG00000214944	-1.08	5.57E-07
ENSG00000133943	0.88	5.57E-07
ENSG00000118507	-1.08	5.6E-07
ENSG00000111450	-0.65	5.63E-07
ENSG00000158292	0.91	5.72E-07
ENSG00000134363	1.78	5.85E-07
ENSG00000123689	2.68	5.88E-07
ENSG00000235513	2.18	6.02E-07
ENSG00000157368	2.13	6.31E-07
ENSG00000165821	0.8	6.34E-07
ENSG00000147100	0.47	6.43E-07
ENSG00000205364	-2.4	6.63E-07
ENSG00000111231	-0.74	6.69E-07
ENSG00000183726	-0.69	6.78E-07
ENSG00000171132	1.18	7.04E-07
ENSG00000108256	-0.39	7.18E-07
ENSG00000101608	-0.85	7.18E-07
ENSG00000221968	-1	7.77E-07
ENSG00000133069	1.05	7.94E-07
ENSG00000186594	-0.8	8.08E-07
ENSG00000168556	-1.29	8.5E-07
ENSG00000167552	1.27	8.5E-07
ENSG00000267339	4.53	8.62E-07
ENSG00000154767	0.55	8.69E-07
ENSG00000198833	-0.43	8.73E-07
ENSG00000087266	0.8	8.84E-07
ENSG00000126878	2.71	8.84E-07
ENSG00000106524	0.65	8.98E-07
ENSG00000118257	-1.05	9.05E-07
ENSG00000162664	0.48	9.17E-07
ENSG00000153207	-1.29	1.05E-06
